pmid,study_label,doi,stream_set,retrieval_status,fulltext_chars,source_file
30291013,Hernandez 2018,10.1016/S0140-6736(18)32261-X,A-RCT,obtained_user_supplied,58081,10.1016_S0140-6736(18)32261-X.xml
31189511,Gerstein 2019,10.1016/S0140-6736(19)31149-3,A-RCT,obtained_user_supplied,56430,10.1016_S0140-6736(19)31149-3.xml
31530667,Zinman 2019,10.2337/dc19-0898,A-RCT,obtained_user_supplied,51441,10.2337_dc19-0898.txt
32816874,Jabbour 2020,10.2337/dc19-1350,A-RCT,obtained_user_supplied,40498,10.2337_dc19-1350.txt
21450987,Buse 2011,10.1210/jc.2010-2822,A-RCT,obtained_user_supplied,45989,
24842985,Umpierrez 2014,10.2337/dc13-2759,A-RCT,obtained_user_supplied,44178,
26132939,Pi-Sunyer 2015,10.1056/NEJMoa1411892,A-RCT,obtained_user_supplied,55340,
32233338,Kelly 2020,10.1056/NEJMoa1916038,A-RCT,obtained_user_supplied,53963,
35658022,Arslanian 2022,10.1056/NEJMoa2204601,A-RCT,obtained_user_supplied,50367,
20107105,DeFronzo 2010,10.2337/dc09-1521,A-RCT,obtained,33325,10.2337_dc09-1521.pdf
24843595,Seino 2012a,10.1111/j.2040-1124.2012.00193.x,A-RCT,obtained,39272,10.1111_j.2040-1124.2012.00193.x.txt
26630143,Pfeffer 2015,10.1056/NEJMoa1509225,A-RCT,obtained,46352,10.1056_NEJMoa1509225.pdf
27005405,Blackman 2016,10.1038/ijo.2016.52,A-RCT,obtained,53531,10.1038_ijo.2016.52.pdf
28910237,Mentz 2017,10.1056/NEJMoa1612917,A-RCT,obtained,53145,10.1056_NEJMoa1612917.pdf
31282028,Tack 2019,10.1111/dom.13826,A-RCT,obtained,42291,10.1111_dom.13826.txt
31407845,Kaku 2019,10.1111/dom.13856,A-RCT,obtained,47782,10.1111_dom.13856.txt
31758520,Ishii 2020,10.1007/s13300-019-00726-8,A-RCT,obtained,42227,10.1007_s13300-019-00726-8.pdf
33567185,Wilding 2021,10.1056/NEJMoa2032183,A-RCT,obtained,62450,10.1056_NEJMoa2032183.pdf
35679098,Tamborlane 2022,10.2337/dc21-2275,A-RCT,obtained,41545,10.2337_dc21-2275.txt
37952131,Lincoff 2023,10.1056/NEJMoa2307563,A-RCT,obtained,56836,10.1056_NEJMoa2307563.pdf
41389474,41389474,10.1016/j.euroneuro.2025.11.016,A-obs,obtained_user_supplied,49939,10.1016_j.euroneuro.2025.11.016.xml
41479367,41479367,10.1111/dom.70415,A-obs,obtained_user_supplied,59465,10.1111_dom.70415.xml
41616750,41616750,10.1016/j.jpsychires.2026.01.042,A-obs,obtained_user_supplied,33088,10.1016_j.jpsychires.2026.01.042.xml
41862258,41862258,10.1016/S2215-0366(26)00014-3,A-obs,obtained_user_supplied,51605,10.1016_S2215-0366(26)00014-3.xml
42380063,42380063,10.1111/dom.70985,A-obs,obtained_user_supplied,53009,10.1111_dom.70985.xml
34016830,34016830,10.1097/JCP.0000000000001409,A-obs,obtained_user_supplied,55667,
38650544,38650544,10.1111/dom.15616,A-obs,obtained_user_supplied,43751,
30728788,30728788,10.3389/fpsyt.2018.00784,A-obs,obtained,20627,10.3389_fpsyt.2018.00784.pdf
39125320,39125320,10.3390/nu16152438,A-obs,obtained,48454,10.3390_nu16152438.txt
39764175,39764175,10.1016/j.eclinm.2024.102726,A-obs,obtained,48935,10.1016_j.eclinm.2024.102726.txt
40124098,40124098,10.2147/DMSO.S502475,A-obs,obtained,36166,10.2147_DMSO.S502475.pdf
40439835,40439835,10.1007/s11414-025-09950-6,A-obs,obtained,43339,10.1007_s11414-025-09950-6.pdf
40760781,40760781,10.1111/dom.70002,A-obs,obtained,48171,10.1111_dom.70002.txt
41386528,41386528,10.1016/j.diabres.2025.113038,A-obs,obtained,18106,10.1016_j.diabres.2025.113038.txt
41491619,41491619,10.1111/dom.70393,A-obs,obtained,51458,10.1111_dom.70393.pdf
41988822,41988822,10.1111/joim.70098,A-obs,obtained,20275,10.1111_joim.70098.pdf
42072949,42072949,10.3390/healthcare14081049,A-obs,obtained,64195,10.3390_healthcare14081049.txt
42265341,42265341,10.1038/s43856-026-01685-5,A-obs,obtained,111514,10.1038_s43856-026-01685-5.pdf
40897378,40897378,10.1093/bjd/ljaf346,A-obs|Stream-D,obtained_user_supplied,39696,
39535805,39535805,10.1001/jamapsychiatry.2024.3599,A-obs|Stream-D,obtained,24139,10.1001_jamapsychiatry.2024.3599.txt
41781010,41781010,10.1136/bmj-2025-086886,A-obs|Stream-D,obtained,103826,10.1136_bmj-2025-086886.pdf
33831213,33831213,10.1093/ntr/ntab066,Stream-D,obtained_user_supplied,46115,10.1093_ntr_ntab066.txt
42070571,42070571,10.1016/S0140-6736(26)00305-3,Stream-D,obtained_user_supplied,67151,10.1016_S0140-6736(26)00305-3.xml
37991022,37991022,10.1172/jci.insight.170419,Stream-D,obtained,45787,10.1172_jci.insight.170419.txt
38486046,38486046,10.1038/s41380-024-02498-5,Stream-D,obtained,62088,10.1038_s41380-024-02498-5.pdf
39074369,39074369,10.7326/M23-2718,Stream-D,obtained,52044,10.7326_M23-2718.txt
39937469,39937469,10.1001/jamapsychiatry.2024.4789,Stream-D,obtained,56950,10.1001_jamapsychiatry.2024.4789.txt
41646707,41646707,10.64898/2026.01.15.26344218,Stream-D,obtained,52000,10.64898_2026.01.15.26344218.pdf
41883728,41883728,10.3389/fpsyt.2026.1766770,Stream-D,obtained,49215,10.3389_fpsyt.2026.1766770.pdf
42151525,42151525,10.1007/s11606-026-10515-2,Stream-D,obtained,48089,10.1007_s11606-026-10515-2.pdf
42189538,42189538,10.1001/jamanetworkopen.2026.14898,Stream-D,obtained,52241,10.1001_jamanetworkopen.2026.14898.txt
